Lista de Projetos com Hibernate/JPA
Data: 2015-07-14
String de Busca: jpa hibernate language:java
Total de Resultados da Busca: -1
Número de Repositorios com Hibernate/JPA: 50
michaelisvy/hibernate-4-spring-3.1-samples, isMavenProject:True
sxyx2008/maven-framework-project, isMavenProject:True
vladmihalcea/hibernate-master-class, isMavenProject:True
oregami/dropwizard-guice-jpa-seed, isMavenProject:True
bogus/Java-Spring-Examples, isMavenProject:False
alexec/tutorial-hibernate-jpa, isMavenProject:True
hibernate/hibernate-metamodelgen, isMavenProject:False
amacoder/demo-restWS-spring-jersey-jpa2-hibernate, isMavenProject:True
hibernate/hibernate-jpa-api, isMavenProject:False
sroysf/webapp-springmvc-jpa-hibernate, isMavenProject:True
GoogleCloudPlatform/appengine-cloudsql-native-mysql-hibernate-jpa-demo-java, isMavenProject:True
lyubo/play-ebean, isMavenProject:False
arey/spring-javaconfig-sample, isMavenProject:True
nchandra/SampleDropwizardService, isMavenProject:True
thrawn01/Spring-Jersey-Hibernate-DbUnit-Example, isMavenProject:True
adaikiss/xun, isMavenProject:True
algaworks/curso-jpa-hibernate, isMavenProject:False
jirutka/rsql-hibernate, isMavenProject:True
pires/fabric8-persistence-hibernate, isMavenProject:True
oronno/WebApplication-Project-Skeleton, isMavenProject:False
konrad-garus/HibernateConcurrencyDemo, isMavenProject:True
yaw/swing-spring-jpa-crud, isMavenProject:True
yaw/javafx-jpa-crud, isMavenProject:False
pires/simple-jpa-hibernate-guice-desktop-app, isMavenProject:True
honeyzhaoAliyun/WeixinMultiPlatform, isMavenProject:True
gitchina/jpaJxet-Atomikos-Manage, isMavenProject:True
marcelotozzi/spring-mvc-blog, isMavenProject:False
henryyan/activiti-jpa-api, isMavenProject:True
pawel-b/spring-vaadin-jpa-example, isMavenProject:True
jirkapinkas/example-spring-boot, isMavenProject:True
cliffmaury/angular-spring4-stack, isMavenProject:True
gustavoorsi/e-learning, isMavenProject:True
Hotware/Hibernate-Search-JPA, isMavenProject:True
sxyx2008/hibernate-search-example, isMavenProject:True
yanaga-samples/clean-jpa, isMavenProject:True
rponte/jpa-issuetracker-project, isMavenProject:False
danielme-com/Spring-3---JPA-2---Hibernate-4---c3p0---EHCache---log4j-Integration-Demo, isMavenProject:True
bleporini/jpa-sans-maitrise, isMavenProject:True
sroysf/standalone-jpa-hibernate, isMavenProject:True
mblanc/webapp-template, isMavenProject:True
galderz/secondlc, isMavenProject:True
mohamedYoussfi/eboutique-jpa-hibernate-spring, isMavenProject:True
chkal/criteria4jpa, isMavenProject:True
diegogusava/spring-mvc-jpa, isMavenProject:True
premium-minds/pm-persistence-utils, isMavenProject:True
andrewmilkowski/template-wicket-spring-jpa2-hibernate-osgi, isMavenProject:True
mohamedYoussfi/jpa-hibernate-spring-struts2-abonnements, isMavenProject:True
krimple/jpa-2.0-sandbox, isMavenProject:True
danjee/generic-dao, isMavenProject:True
ChunPIG/bwsh-shiro, isMavenProject:True
jbcazaux/many2many, isMavenProject:True
psychok7/systems-integration, isMavenProject:False
progolden/dne-utils, isMavenProject:True
jresponder/jresponder, isMavenProject:False
rgolder1/aztec, isMavenProject:False
sroysf/webapp-jpa-hibernate, isMavenProject:True
mballem/TutorialHibernateJPA, isMavenProject:True
danielme-com/Maven---JPA-2---Hibernate-4---Log4j, isMavenProject:True
aotrzonsek/spring-hibernate-jpa, isMavenProject:True
michaellavelle/spring-social-hibernate-jpa, isMavenProject:True
hawnnguyen/hnl-ws-spring-jpa-hibernate, isMavenProject:True
timezra/hibernate-jpa-callbacks, isMavenProject:False
raupach/gwt-spring-jpa-jta-jms-comet-hibernate, isMavenProject:True
