Lista de Projetos com Hibernate/JPA
Data: 2015-07-29
String de Busca: jpa hibernate language:java
Total de Resultados da Busca: 646
Número de Repositorios com Hibernate/JPA: 38

mohamedYoussfi/eboutique-jpa-hibernate-spring, isMavenProject:True, hasEntity:True
ysalmin/classifieds-app, isMavenProject:True, hasEntity:True
jromanz/lessons-JPA, isMavenProject:True, hasEntity:True
palava/palava-jpa-hibernate, isMavenProject:False, hasEntity:False
vucalur/northwind-JPA, isMavenProject:True, hasEntity:True
mschmidt18/starter, isMavenProject:False, hasEntity:False
bogus/Simple-BlazeDS-Flex, isMavenProject:True, hasEntity:True
CrocusJava/carrentals-v3, isMavenProject:False, hasEntity:True
jonathanqbo/jpa, isMavenProject:True, hasEntity:True
garyliu1119/JPA-Hibernate, isMavenProject:False, hasEntity:True
panmingzhi815/hibernateCache, isMavenProject:True, hasEntity:True
AlexanderIvanof/SpringJpa, isMavenProject:True, hasEntity:True
przodownikR1/jpaKata, isMavenProject:False, hasEntity:True
ericjankowski/hibernate-and-jpa, isMavenProject:True, hasEntity:True
timoe/spring-hibernate-jpa-playground, isMavenProject:False, hasEntity:True
developercyrus/jpa-hibernate-snippets, isMavenProject:True, hasEntity:True
aerdy/Hibernate-dan-JPA, isMavenProject:False, hasEntity:False
vyudi/JsfJpaHibernateExemplo, isMavenProject:False, hasEntity:True
evilasiodr/ProjetoJpaHibernate, isMavenProject:False, hasEntity:True
hopefull12/spring-jpa-hibernate-standalone, isMavenProject:False, hasEntity:True
JhonatanRocha/struts2-jpa-hibernate, isMavenProject:False, hasEntity:True
markjszy/hibernate-demo, isMavenProject:True, hasEntity:True
augusto/jpa-workshop, isMavenProject:True, hasEntity:True
nsavageJVM/starschema, isMavenProject:True, hasEntity:True
DanielMichalski/spring-jpa-security-archetype, isMavenProject:True, hasEntity:True
boriska70/Cxf_Jpa_Jackson_Example, isMavenProject:True, hasEntity:True
qwazer/jpa_one2one_bug_report, isMavenProject:True, hasEntity:True
Shrulik/play-jpa-seed, isMavenProject:False, hasEntity:False
lauriharpf/jboss-4-3-jpa-ejb, isMavenProject:False, hasEntity:False
urvfed/prettypets, isMavenProject:False, hasEntity:True
kalpana-k/StudentEnrollment, isMavenProject:True, hasEntity:True
PierreLeresteux/twittsearch, isMavenProject:True, hasEntity:True
matthogan/smallresearch, isMavenProject:False, hasEntity:True
elaissoussi/Gestion-des-Produits, isMavenProject:True, hasEntity:True
specialk1st/FitnessTracker, isMavenProject:True, hasEntity:True
brendo10x/Sistema_de_floricultura, isMavenProject:False, hasEntity:True
marcosptf/ejb3-webServices, isMavenProject:False, hasEntity:True
SaKondri/Phonebook, isMavenProject:False, hasEntity:True

Total Projetos Download: 38 Maven: 20 Entity: 33
