gitUser, projectName, numEntidades, rulecheck, ocorreuErro, msgErro
alexec, tutorial-hibernate-jpa, 2, false, false, 
rponte, jpa-issuetracker-project, 6, false, false, 
danielme-com, Maven---JPA-2---Hibernate-4---Log4j, 2, false, false, 
puneetjaiswal, SpringJpaHibernate-DAOs, 5, false, false, 
puneetjaiswal, SpringJpaHibernate-DAOs, 1, false, false, 
puneetjaiswal, SpringJpaHibernate-DAOs, 1, true, false, 
puneetjaiswal, SpringJpaHibernate-DAOs, 1, true, false, 
puneetjaiswal, SpringJpaHibernate-DAOs, 1, false, false, 
CloudBees-community, tomcat7-hibernate-jpa-clickstart, 1, false, false, 
auskast, jpa, 2, false, false, 
castlecodestein, spring-orm-jpa, 1, false, false, 
oleg-panichev, StudentsProject, 2, false, false, 
olivier8, ToysForBoys, 5, true, false, 
lorinpa, book-site-jpa, 5, true, false, 
andreas-schilling, hibernate-anytype, 3, false, false, 
jpdigital, hibernate4-ddl-maven-plugin, 0, true, false, 
roraffer, SimpleRestHibernate, 1, false, false, 
dsawa, FCManager, 3, false, false, 
jhong2023, rest-bootstrap, 2, false, false, 
zhy2002, FitnessTracker, 5, false, false, 
indvamshi, applicationlibrary-backend, 17, false, false, 
stenman, databasefun, 3, false, false, 
davisoski, SpringMVCTomcat5CRUD, 3, false, false, 
