"projeto","total","falhou","proporcao"
"alex4u2nv/HibernateModeling",18,4,0.222222222222222
"alexec/tutorial-hibernate-jpa",12,5,0.416666666666667
"andreas-schilling/hibernate-anytype",18,4,0.222222222222222
"auskast/jpa",12,3,0.25
"castlecodestein/spring-orm-jpa",6,2,0.333333333333333
"CloudBees-community/tomcat7-hibernate-jpa-clickstart",6,1,0.166666666666667
"CrocusJava/carrentals-v3/Carjpaejbearbean",30,3,0.1
"csantos0/synchro-agenda-services/synchro-agenda-services",18,3,0.166666666666667
"danielme-com/Maven---JPA-2---Hibernate-4---Log4j",12,5,0.416666666666667
"davisoski/SpringMVCTomcat5CRUD",18,7,0.388888888888889
"dsawa/FCManager",18,11,0.611111111111111
"ethiclab/spring-boot-vaadin-template",6,3,0.5
"FabianRojasFuentes/Webservices-REST-JAX-RS/Webservices-JPA",24,9,0.375
"feliperodriguesbastos/setsoft",30,7,0.233333333333333
"franklindeoliveira/springmvc-jpa-advanced",66,23,0.348484848484849
"fwich/hibernate4JPAConverter",6,1,0.166666666666667
"imed-pf/dojo-persistence-jpa-hibernate-example",12,5,0.416666666666667
"indvamshi/applicationlibrary-backend",102,7,0.0686274509803922
"jhong2023/rest-bootstrap",12,6,0.5
"lgazo/jboss-poc/horec-domain",6,2,0.333333333333333
"lorinpa/book-site-jpa",30,3,0.1
"lukaszbudnik/hibernate-multitenant",24,5,0.208333333333333
"natanielpaiva/JPA-2-and-Hibernate",12,4,0.333333333333333
"oleg-panichev/StudentsProject",12,5,0.416666666666667
"olivier8/ToysForBoys",30,1,0.0333333333333333
"puneetjaiswal/SpringJpaHibernate-DAOs/hibernate-test",30,10,0.333333333333333
"roraffer/SimpleRestHibernate",6,2,0.333333333333333
"rponte/jpa-issuetracker-project",36,7,0.194444444444444
"samantang/BanqueSpringJPA2Hibernate/Banque6",66,22,0.333333333333333
"seasarorg/s2hibernate-jpa/s2hibernate-jpa",18,6,0.333333333333333
"sobngwi/spring-webmvc-hibernate/spring-mvc-hibernate",36,13,0.361111111111111
"stenman/databasefun",18,6,0.333333333333333
"WellsCui/spring-mvc-jpa-hibernate-mysql/mysecond-spring-mvc",6,2,0.333333333333333
"zhy2002/FitnessTracker",30,10,0.333333333333333
