gitUser, projectName, numEntidades, rulecheck, totalPassou, totalFalhou, ocorreuErro, msgErro
alexec, tutorial-hibernate-jpa, 2, false, 0, 2, false, Não houve erro!
rponte, jpa-issuetracker-project, 6, false, 4, 2, false, Não houve erro!
danielme-com, Maven---JPA-2---Hibernate-4---Log4j, 2, false, 0, 2, false, Não houve erro!
puneetjaiswal, SpringJpaHibernate-DAOs, 5, false, 0, 5, false, Não houve erro!
puneetjaiswal, SpringJpaHibernate-DAOs, 1, false, 0, 1, false, Não houve erro!
puneetjaiswal, SpringJpaHibernate-DAOs, 1, true, 1, 0, false, Não houve erro!
puneetjaiswal, SpringJpaHibernate-DAOs, 1, true, 1, 0, false, Não houve erro!
puneetjaiswal, SpringJpaHibernate-DAOs, 1, false, 0, 1, false, Não houve erro!
CloudBees-community, tomcat7-hibernate-jpa-clickstart, 1, false, 0, 1, false, Não houve erro!
auskast, jpa, 2, false, 0, 2, false, Não houve erro!
castlecodestein, spring-orm-jpa, 1, false, 0, 1, false, Não houve erro!
oleg-panichev, StudentsProject, 2, false, 0, 2, false, Não houve erro!
olivier8, ToysForBoys, 5, true, 5, 0, false, Não houve erro!
lorinpa, book-site-jpa, 5, true, 5, 0, false, Não houve erro!
andreas-schilling, hibernate-anytype, 3, false, 0, 3, false, Não houve erro!
jpdigital, hibernate4-ddl-maven-plugin, 0, true, 0, 0, false, Não houve erro!
feliperodriguesbastos, setsoft, 5, false, 1, 4, false, Não houve erro!
roraffer, SimpleRestHibernate, 1, false, 0, 1, false, Não houve erro!
dsawa, FCManager, 3, false, 0, 3, false, Não houve erro!
ethiclab, spring-boot-vaadin-template, 1, false, 0, 1, false, Não houve erro!
jhong2023, rest-bootstrap, 2, false, 0, 2, false, Não houve erro!
zhy2002, FitnessTracker, 5, false, 0, 5, false, Não houve erro!
indvamshi, applicationlibrary-backend, 17, false, 15, 2, false, Não houve erro!
stenman, databasefun, 3, false, 0, 3, false, Não houve erro!
davisoski, SpringMVCTomcat5CRUD, 3, false, 1, 2, false, Não houve erro!
