"","projeto","total","falhou","proporcao"
"1","alexec/tutorial-hibernate-jpa",12,5,0.416666666666667
"2","amacoder/demo-restWS-spring-jersey-jpa2-hibernate",6,1,0.166666666666667
"3","andrewmilkowski/template-wicket-spring-jpa2-hibernate-osgi/database-tier",6,0,0
"4","asdtiang/springMvc-jpa-demo",6,1,0.166666666666667
"5","chathurangat/Spring3-Hibernate-Maven-JPA",6,2,0.333333333333333
"6","danielme-com/Spring-3---JPA-2---Hibernate-4---c3p0---EHCache---log4j-Integration-Demo",6,2,0.333333333333333
"7","diegogusava/spring-mvc-jpa",6,1,0.166666666666667
"8","galderz/secondlc",18,5,0.277777777777778
"9","GoogleCloudPlatform/appengine-cloudsql-native-mysql-hibernate-jpa-demo-java",6,3,0.5
"10","honeyzhaoAliyun/WeixinMultiPlatform",156,32,0.205128205128205
"11","jirkapinkas/example-spring-boot",6,2,0.333333333333333
"12","konrad-garus/HibernateConcurrencyDemo",6,2,0.333333333333333
"13","mblanc/webapp-template",6,2,0.333333333333333
"14","michaelisvy/hibernate-4-spring-3.1-samples",24,8,0.333333333333333
"15","mohamedYoussfi/eboutique-jpa-hibernate-spring",42,11,0.261904761904762
"16","nchandra/SampleDropwizardService",6,2,0.333333333333333
"17","oregami/dropwizard-guice-jpa-seed",24,10,0.416666666666667
"18","pires/fabric8-persistence-hibernate/dal.impl",6,2,0.333333333333333
"19","pires/simple-jpa-hibernate-guice-desktop-app",6,2,0.333333333333333
"20","rponte/jpa-issuetracker-project",36,7,0.194444444444444
"21","sroysf/standalone-jpa-hibernate",12,4,0.333333333333333
"22","sroysf/webapp-springmvc-jpa-hibernate",12,4,0.333333333333333
"23","sxyx2008/hibernate-search-example/hibernate-example",12,6,0.5
"24","sxyx2008/maven-framework-project",30,17,0.566666666666667
"25","thrawn01/Spring-Jersey-Hibernate-DbUnit-Example",6,3,0.5
"26","yanaga-samples/clean-jpa",6,1,0.166666666666667
"27","yaw/swing-spring-jpa-crud",6,3,0.5
